symbol,direction,gross_pnl,commissions,real_net_pnl,recorded_pnl,diff,abs_diff
BNB/USDT,SHORT,0.021296102223794224,0.00564856694536428,0.015647535278429943,0.3772100127576699,-0.36156247747924,0.36156247747924
BNB/USDT,SHORT,0.02824535663366349,0.005645439780879839,0.02259991685278365,0.5029466836768932,-0.48034676682410954,0.48034676682410954
POL/USDT,SHORT,0.036645688424659026,0.010185413430040648,0.02646027499461838,0.6801269326554497,-0.6536666576608313,0.6536666576608313
POL/USDT,SHORT,0.046872392171076596,0.01018081141335476,0.03669158075772184,0.9068359102072662,-0.8701443294495443,0.8701443294495443
BNB/USDT,SHORT,0.032429853912725216,0.0056435567571042605,0.026786297155620954,0.6286833545961165,-0.6018970574404955,0.6018970574404955
POL/USDT,SHORT,0.0596557718540962,0.010175058892497401,0.0494807129615988,1.1335448877590826,-1.0840641747974837,1.0840641747974837
POL/USDT,SHORT,0.07243915153711816,0.010169306371640041,0.06226984516547812,1.360253865310899,-1.297984020145421,1.297984020145421
BTC/USDT,SHORT,-2.0,0.0909,-2.0909,-2.0,-0.09089999999999998,0.09089999999999998
ETH/USDT,LONG,-4.0,0.0882,-4.0882,-4.0,-0.08819999999999961,0.08819999999999961
BTC/USDT,SHORT,-4.0,0.09179999999999999,-4.0918,-4.0,-0.0918000000000001,0.0918000000000001
BTC/USDT,SHORT,-6.0,0.0927,-6.0927,-6.0,-0.09269999999999978,0.09269999999999978
BCH/USDT:USDT,SHORT,-2.374560000000002,0.18986003999999998,-2.564420040000002,-2.374560000000002,-0.18986004000000012,0.18986004000000012
BTC/USDT,LONG,-1.0,0.08954999999999999,-1.08955,-1.0,-0.08955000000000002,0.08955000000000002
XMR/USDT:USDT,LONG,-0.5050499999999971,0.09064210049999999,-0.5956921004999971,-0.5050499999999971,-0.09064210049999999,0.09064210049999999
XMR/USDT,SHORT,-0.5303971682410382,0.08311311626401213,-0.6135102845050504,-0.5303971682410383,-0.08311311626401208,0.08311311626401208
XRP/USDT,LONG,0.16118325164896427,0.01503413076336356,0.14614912088560073,0.6649599244498455,-0.5188108035642448,0.5188108035642448
XRP/USDT,LONG,0.20226917853987575,0.01505261943046447,0.1872165591094113,0.9974398866747684,-0.8102233275653571,0.8102233275653571
XRP/USDT:USDT,LONG,0.12750599999999965,0.0090402939,0.11846570609999965,0.39924072,-0.28077501390000037,0.28077501390000037
XRP/USDT:USDT,LONG,0.12750599999999965,0.0090402939,0.11846570609999965,0.59886108,-0.4803953739000004,0.4803953739000004
XRP/USDT:USDT,LONG,0.1597380000000003,0.0090547983,0.1506832017000003,0.79848144,-0.6477982382999997,0.6477982382999997
XRP/USDT:USDT,LONG,0.20050200000000004,0.0090731421,0.19142885790000003,0.9981018,-0.8066729421000001,0.8066729421000001
SUI/USDT,LONG,0.0910532555926511,0.00990269192609794,0.08115056366655315,0.4382985760480554,-0.35714801238150223,0.35714801238150223
SUI/USDT,LONG,0.1336893038463531,0.009921878147812105,0.123767425698541,0.6574478640720831,-0.5336804383735421,0.5336804383735421
LINK/USDT:USDT,LONG,-1.0839900000763905,0.13949499150003436,-1.2234849915764248,-1.0839900000763905,-0.1394949915000343,0.1394949915000343
LINK/USDT,LONG,-0.5845038072045038,0.07804719927472574,-0.6625510064792295,-0.5845038072045038,-0.0780471992747257,0.0780471992747257
LINK/USDT:USDT,LONG,-1.0839900000763905,0.13949499150003436,-1.2234849915764248,-1.0839900000763905,-0.1394949915000343,0.1394949915000343
LINK/USDT:USDT,LONG,-1.0839900000763905,0.13949499150003436,-1.2234849915764248,-1.0839900000763905,-0.1394949915000343,0.1394949915000343
LINK/USDT,LONG,-0.46635586033315163,0.06157390743141336,-0.527929767764565,-0.4663558603331516,-0.061573907431413444,0.061573907431413444
INJ/USDT,LONG,0.07136602414367707,0.007935066750451854,0.06343095739322521,0.3512423128705422,-0.28781135547731695,0.28781135547731695
INJ/USDT,LONG,0.10628982319271028,0.007950782460023918,0.09833904073268637,0.5268634693058133,-0.4285244285731269,0.4285244285731269
INJ/USDT,LONG,0.1442504743329648,0.007967864753037034,0.13628260957992777,0.7024846257410844,-0.5662020161611566,0.5662020161611566
XRP/USDT,LONG,0.10482028919692231,0.01125951962266701,0.0935607695742553,0.4983266885568176,-0.4047659189825623,0.4047659189825623
INJ/USDT,LONG,0.17613742129077803,0.00798221387916805,0.16815520741160997,0.8781057821763555,-0.7099505747647455,0.7099505747647455
INJ/USDT,LONG,0.0944443991116231,0.010423119996956496,0.0840212791146666,0.4613608896602784,-0.37733961054561177,0.37733961054561177
XRP/USDT,LONG,-0.3420451542215303,0.044695481650713895,-0.3867406358722442,-0.3420451542215303,-0.04469548165071391,0.04469548165071391
ETH/USDT,LONG,-0.07062566180369452,0.05278648765697602,-0.12341214946067054,-0.0706256618036947,-0.05278648765697584,0.05278648765697584
ETH/USDT,LONG,2.0,0.0909,1.9091,2.0,-0.09089999999999998,0.09089999999999998
HBAR/USDT,LONG,-0.2593488893020367,0.03628858287030885,-0.29563747217234554,-0.2593488893020367,-0.03628858287030884,0.03628858287030884
SOL/USDT:USDT,LONG,-0.4485000000000039,0.085937085,-0.5344370850000039,-0.4485000000000039,-0.08593708499999997,0.08593708499999997
